,name,city,country,region,members,fullurl,created,past_events,upcoming_events,visibility,last_event
214,"Charlotte Women of Data Science, Machine Learning and AI",Charlotte,USA,US/Canada,123,https://www.meetup.com/Charlotte-Women-of-Data-Science-Deep-Learning-ML-AI/,27-02-2019,1,0,public,20-03-2019
215,Applied Data Science of Atlanta,Atlanta,USA,US/Canada,1200,https://www.meetup.com/Applied-Data-Science-of-Atlanta/,26-04-2015,25,0,public,03-12-2019
219,Data Science Den Haag,Den Haag,Netherlands,Europe,136,https://www.meetup.com/Data-Science-Den-Haag/,07-04-2017,0,0,public,01-01-1970
220,Data Science Retreat,Berlin,Germany,Europe,2093,https://www.meetup.com/Data-Science-Retreat/,07-08-2017,26,0,public,06-04-2021
221,Practical Data Science and Machine Learning,Århus,Denmark,Europe,548,https://www.meetup.com/datasciencedk/,29-03-2014,7,0,public,19-03-2020
222,Data Science for Non-Profits,San Diego,USA,US/Canada,508,https://www.meetup.com/Data-Science-for-Non-Profits/,15-06-2019,23,0,public,13-01-2021
223,Learn Data Science,Vancouver,Canada,US/Canada,5507,https://www.meetup.com/LearnDataScience/,04-04-2015,356,9,public,11-06-2021
224,Data Science Lab,London,United Kingdom,Europe,3086,https://www.meetup.com/data-science-lab/,17-01-2013,48,1,public_limited,27-05-2021
226,Data Science Tbilisi,Tbilisi,Georgia,Asia,1526,https://www.meetup.com/Data-Science-Tbilisi/,05-09-2016,50,0,public,20-05-2021
227,Open Data Science Group,London,United Kingdom,Europe,310,https://www.meetup.com/opendatascience/,07-12-2013,1,0,public,05-06-2017
228,Data Science NL,Amsterdam,Netherlands,Europe,3070,https://www.meetup.com/DataScienceNL/,02-10-2012,13,0,public,28-11-2019
229,Charlottesville Data Science,Charlottesville,USA,US/Canada,818,https://www.meetup.com/CharlottesvilleDataScience/,24-05-2016,19,0,public,27-02-2020
230,Southern Data Science (BBDS),Atlanta,USA,US/Canada,2112,https://www.meetup.com/Southern-Data-science/,23-03-2017,45,0,public,29-11-2020
231,Nara Data Science and Engineering,Jakarta,Indonesia,Asia,64,https://www.meetup.com/Nara-Data-Science-and-Engineering/,01-10-2018,0,0,public,01-01-1970
232,Westlake Village Data Science Meetup,Westlake Village,USA,US/Canada,1269,https://www.meetup.com/Westlake-Village-Data-Science-Meetup/,14-11-2013,110,0,public,13-03-2020
233,Data Science & Business Intelligence Society of Atlanta,Atlanta,USA,US/Canada,5074,https://www.meetup.com/Atlanta-Society-for-Business-Intelligence/,02-01-2010,116,0,public,08-06-2021
235,Big Data Science,Fremont,USA,US/Canada,5151,https://www.meetup.com/Big-Data-Science/,25-01-2012,120,25,public,14-02-2020
236,Silicon Valley Data Science Predictive Analytics Meetup,Santa Clara,USA,US/Canada,1316,https://www.meetup.com/Silicon-Valley-Data-Science-Predictive-Analytics-Meetup/,16-06-2016,102,0,public,05-06-2021
237,Data Science & Big Data - Izmir,Izmir,Turkey,Europe,2161,https://www.meetup.com/Data-Science-Big-Data-Izmir/,17-12-2017,9,0,public,14-10-2020
240,Data Science Manchester,Sale,United Kingdom,Europe,361,https://www.meetup.com/Data-Science-Manchester/,28-11-2015,0,0,public,01-01-1970
241,Leeds Data Science Meetup,Leeds,United Kingdom,Europe,749,https://www.meetup.com/Leeds-Data-Science-Meetup/,09-04-2018,14,0,public,28-01-2020
242,Dubai Data Science,Dubai,U.A.E.,Asia,2396,https://www.meetup.com/Dubai-Data-Science-Meetup/,16-09-2016,35,0,public,22-01-2021
243,Hyderabad BigData and Data Science Meetup,Hyderabad,India,Asia,521,https://www.meetup.com/Hyderabad-BigData-and-Data-Science-Meetup/,26-10-2014,0,0,public,01-01-1970
244,ROC Data Science,Rochester,USA,US/Canada,786,https://www.meetup.com/ROC-Data-Science/,11-03-2015,17,0,public,12-03-2021
245,Data Science KC,Kansas City,USA,US/Canada,2155,https://www.meetup.com/Data-Science-KC/,21-06-2013,54,0,public,05-11-2020
246,Women in Data Science - ATX,Austin,USA,US/Canada,1200,https://www.meetup.com/Women-in-Data-Science-ATX/,16-07-2015,134,0,public,07-05-2021
247,San Antonio Women in Machine Learning & Data Science,San Antonio,USA,US/Canada,182,https://www.meetup.com/San-Antonio-Women-in-Machine-Learning-and-Data-Science/,19-03-2019,9,0,public_limited,26-02-2020
248,Salt Lake City Data Science,Salt Lake City,USA,US/Canada,1422,https://www.meetup.com/Salt-Lake-City-Data-Science/,21-02-2014,32,0,public,19-02-2020
249,San Diego Women in Data Science,San Diego,USA,US/Canada,382,https://www.meetup.com/San-Diego-Women-in-Data-Science/,12-05-2016,57,0,public_limited,31-01-2019
250,Palo Alto Data Science Association,Palo Alto,USA,US/Canada,3166,https://www.meetup.com/Palo-Alto-Data-Science-Association/,06-11-2013,109,8,public,28-12-2019
251,Data Science Breakfast Meetup,Sydney,Australia,Australia,1843,https://www.meetup.com/The-Sydney-Data-Science-Breakfast-Meetup-Group/,16-09-2015,59,0,public,11-11-2019
253,Data.Science.London,London,United Kingdom,Europe,1322,https://www.meetup.com/DSLondon/,06-02-2016,24,5,public,03-06-2021
254,Data Science Łódź,Łódź,Poland,Europe,713,https://www.meetup.com/data-science-lodz/,04-10-2015,18,0,public,13-01-2020
255,Data Science Indy,Indianapolis,USA,US/Canada,1068,https://www.meetup.com/dsindy/,13-02-2013,73,0,public_limited,13-02-2020
256,Data Science Workshop,Chicago,USA,US/Canada,799,https://www.meetup.com/Data-Science-Workshop/,10-09-2015,5,0,public,29-10-2016
257,East Bay Data Science & Engineering,Oakland,USA,US/Canada,778,https://www.meetup.com/East-Bay-Data-Science/,13-05-2016,8,0,public,31-01-2019
258,PhillyTalent Evaluation@AI - Leverage for Data Science,Philadelphia,USA,US/Canada,387,https://www.meetup.com/PhillyTalent/,05-09-2018,36,0,public,12-05-2020
259,Skillspire - Bellevue Data Analytics Meetup,Bellevue,USA,US/Canada,536,https://www.meetup.com/meetup-group-Skillspire-Bellevue-Data-Analytics-Meetup/,27-06-2017,7,0,public,05-06-2021
260,Computational Social Science  University of Maryland (CS2UM),Laurel,USA,US/Canada,374,https://www.meetup.com/Computational-Social-Science-University-of-Maryland-CS2UM/,28-01-2017,7,0,public,15-05-2019
261,Diversity in Data,Gaithersburg,USA,US/Canada,321,https://www.meetup.com/Diversity-in-data/,08-02-2017,7,0,public,10-01-2019
263,"Barcelona Science, Machine Learning, and AI Meetup Group",Barcelona,Spain,Europe,147,https://www.meetup.com/barcelona-science-machine-learning-and-ai-meetup-group/,14-01-2021,2,0,public,12-03-2021
264,Data Science Silesia,Katowice,Poland,Europe,529,https://www.meetup.com/Data-Science-Silesia/,07-12-2017,7,0,public,07-05-2019
265,Big Data NL,Amsterdam,Netherlands,Europe,137,https://www.meetup.com/Big-Data-NL/,21-07-2020,6,0,public,01-09-2020
266,Data Analytics & Business Intelligence,Bangalore,India,Asia,259,https://www.meetup.com/Data_Science_ATMinds/,20-04-2017,0,0,public,01-01-1970
267,NOVA Data School Meetup,Fairfax,USA,US/Canada,244,https://www.meetup.com/NOVA-Data-School-Meetup/,25-03-2019,9,0,public,12-10-2019
268,"Women in Data Science, Power and Engineering. Nuevo León",Monterrey,Mexico,Latin America,468,https://www.meetup.com/Women-inData-Women-in-Data-Science-Meetup/,14-02-2018,25,0,public,05-03-2021
269,Data Scientists Ireland,Dublin,Ireland,Europe,4585,https://www.meetup.com/DataScientistsIreland/,19-02-2014,216,4,public,07-04-2021
270,Saudi Data,Riyadh,Saudi Arabia,Asia,2477,https://www.meetup.com/Saudi-Data-2030/,03-01-2019,23,0,public,23-11-2020
271,Totta data lab,Amsterdam,Netherlands,Europe,162,https://www.meetup.com/Totta-data-lab/,09-08-2017,6,0,public,27-08-2020
272,Colorado Big Data Enthusiasts,Denver,USA,US/Canada,355,https://www.meetup.com/Colorado-Big-Data-Enthusiasts/,27-05-2015,16,0,public,23-10-2018
273,Ankara Data Science and Big Data Meetup,Ankara,Turkey,Europe,2169,https://www.meetup.com/Ankara-Data-Science-and-Big-Data-Meetup/,16-12-2015,4,0,public,09-05-2016
274,Data Education DC,Washington,USA,US/Canada,2816,https://www.meetup.com/Data-Education-DC/,16-01-2014,81,0,public,28-01-2021
275,Women in Data Calgary,Calgary,Canada,US/Canada,930,https://www.meetup.com/Women-in-Data-Calgary/,19-06-2018,34,2,public,21-05-2021
276,Waterloo Data Science and Data Engineering,Waterloo,Canada,US/Canada,1840,https://www.meetup.com/Waterloo-Data-Science-and-Data-Engineering/,15-10-2015,28,1,public,09-03-2021
277,Valence Data Science for Human Good,Valence,France,Europe,160,https://www.meetup.com/Valence-DataScience-for-Human-Good/,27-01-2017,4,0,public,30-01-2020
278,Bristol Data Scientists,Bristol,United Kingdom,Europe,1623,https://www.meetup.com/Bristol-Data-Scientists/,26-08-2014,19,0,public,28-01-2020
279,Moscow Data Fest,Moscow,Russia,Europe,1620,https://www.meetup.com/Moscow-Data-Fest/,24-08-2015,5,0,public,28-04-2018
280,Bucks County Data Science (DataBucks),Chalfont,USA,US/Canada,127,https://www.meetup.com/DataBucks/,05-10-2013,3,0,public,06-11-2014
282,The Data Scientist-Chicago,Northbrook,USA,US/Canada,704,https://www.meetup.com/The-Data-Scientist_Chicago/,18-07-2014,5,0,public,02-11-2016
283,Seattle Data Geeks,Seattle,USA,US/Canada,2519,https://www.meetup.com/seattle-data-geeks/,24-06-2013,44,0,public,02-04-2021
284,The Perth Data Science Meetup,Perth,Australia,Australia,660,https://www.meetup.com/Perth-Data-Science/,28-03-2012,32,0,public,15-05-2019
286,Chiang Mai Data Analytics Meetup,Chiang Mai,Thailand,Asia,56,https://www.meetup.com/Chiang-Mai-Data-Analytics-Meetup/,27-12-2018,0,0,public,01-01-1970
288,Data Science & Business Analytics,Denver,USA,US/Canada,2301,https://www.meetup.com/Data-Science-Business-Analytics/,08-08-2012,120,0,public,03-03-2021
292,Kaggle Days Meetup DC Maryland Virginia,Washington,USA,US/Canada,598,https://www.meetup.com/Kaggle-Days/,11-04-2019,14,0,public,22-08-2020
293,DSpark MeetUps,Sydney,Australia,Australia,151,https://www.meetup.com/DSpark/,28-03-2018,2,0,public,02-08-2018
294,Advanced Analytics and Research Lab,Toronto,Canada,US/Canada,2028,https://www.meetup.com/Advanced-Analytics-and-Research-Lab/,08-07-2017,37,1,public,13-10-2020
295,Eventos MBIT SCHOOL,Madrid,Spain,Europe,933,https://www.meetup.com/mbitschool/,02-02-2018,78,0,public,15-04-2021
298,Data Science Antalya,Antalya,Turkey,Europe,418,https://www.meetup.com/Data-Science-Antalya/,27-08-2018,10,0,public,07-02-2020
299,Amman Data Geeks,´Amman,Jordan,Asia,97,https://www.meetup.com/AmmanDataGeeks/,17-07-2019,0,0,public,01-01-1970
300,Cluj Data Scientists & Machine Learners,Cluj-Napoca,Romania,Europe,251,https://www.meetup.com/Cluj-Data-Scientists/,27-01-2017,1,0,public_limited,10-08-2017
306,Bozeman Data & Analytics,Bozeman,USA,US/Canada,79,https://www.meetup.com/meetup-group-oxiATbXu/,28-04-2018,0,0,public,01-01-1970
308,Data Analytics -  Community,Las Palmas,Spain,Atlantic/Canary,231,https://www.meetup.com/Data-Analytics-Canarias-Community/,02-08-2018,5,0,public,16-05-2019
309,CH Kaggle Competitions,Basel,Switzerland,Europe,226,https://www.meetup.com/CH-Kaggle-Competitions/,22-02-2018,7,0,public,26-04-2019
310,DataChangers - Open Your World With Data & AI,Amsterdam,Netherlands,Europe,1079,https://www.meetup.com/datachangers/,20-04-2017,95,0,public,29-10-2020
313,Data Latam Meetup,San Jose,Costa Rica,Latin America,592,https://www.meetup.com/DataLatam/,05-09-2017,8,0,public,05-02-2021
314,#DataForGood - CorrelAid Berlin,Berlin,Germany,Europe,496,https://www.meetup.com/CorrelAid/,19-06-2019,3,0,public,26-03-2020
315,Data gym,Hartford,USA,US/Canada,17,https://www.meetup.com/data-gym/,08-04-2021,1,0,public,11-04-2021
316,HAN Data Driven,Nijmegen,Netherlands,Europe,3,https://www.meetup.com/HAN-Data-Driven/,12-05-2020,1,0,public_limited,29-06-2020
318,Veri Bilimi Okulu,Istanbul,Turkey,Europe,4402,https://www.meetup.com/veribilimiokulu/,04-12-2016,16,0,public,22-05-2020
319,Kaggle Paris Meetup,Paris,France,Europe,1173,https://www.meetup.com/Kaggle-Paris-Meetup/,07-03-2014,25,0,public,22-04-2021
321,DataVis LA,Santa Monica,USA,US/Canada,903,https://www.meetup.com/Data-Visualization-Los-Angeles-Data-Science/,28-09-2013,40,0,public,10-11-2017
322,Analytics Vidhya Bangalore,Bangalore,India,Asia,5969,https://www.meetup.com/analytics-vidhya-bangalore/,03-11-2016,51,1,public,08-06-2021
325,Data and Analytics Ho Chi Minh City,Ho Chi Minh City,Vietnam,Asia,46,https://www.meetup.com/data-and-analytics-ho-chi-minh-city/,07-04-2021,10,3,public,08-06-2021
328,Hacking Machine Learning,München,Germany,Europe,2235,https://www.meetup.com/Hacking-Machine-Learning/,23-02-2017,39,0,public,11-05-2021
329,Data science & analytics Brno,Brno,Czech Republic,Europe,658,https://www.meetup.com/dataheads/,27-04-2015,13,0,public,12-12-2018
331,The Data Scientist,Cambridge,USA,US/Canada,5253,https://www.meetup.com/The-Data-Scientist/,22-02-2012,42,0,public,21-08-2018
333,AI + Marketing,Montréal,Canada,US/Canada,821,https://www.meetup.com/MAIC-marketing/,01-03-2016,4,5,public,27-10-2016
335,Divergence Academy Meetup,Addison,USA,US/Canada,558,https://www.meetup.com/Divergence-Academy-Meetup/,22-01-2015,80,0,public,15-08-2019
336,The Data Science Interview,México City,Mexico,Latin America,96,https://www.meetup.com/The-Data-Science-Interview/,09-06-2016,0,0,public,01-01-1970
340,Data and Analytics Madrid,Madrid,Spain,Europe,83,https://www.meetup.com/data-and-analytics-madrid/,07-04-2021,15,4,public,10-06-2021
342,Barcelona Data Science and Machine Learning Meetup,Barcelona,Spain,Europe,2218,https://www.meetup.com/barcelona-data-science-machine-learning/,11-04-2014,57,0,public,12-05-2021
345,Budapest Data & Pizza,Budapest,Hungary,Europe,234,https://www.meetup.com/Budapest-Data-Pizza/,02-09-2019,3,0,public,29-07-2020
346,"Data, Cloud and AI in Vienna",Vienna,Austria,Europe,1674,https://www.meetup.com/Big-Data-Developers-in-Vienna/,16-05-2014,46,0,public,18-03-2021
350,"Data, Cloud and AI in Moscow",Moscow,Russia,Europe,2892,https://www.meetup.com/Big-Data-Developers-in-Moscow/,20-05-2014,28,0,public,31-07-2020
352,Big Data Women,Boston,USA,US/Canada,617,https://www.meetup.com/Big-Data-Women/,27-08-2014,4,0,public,11-05-2017
353,Data Viz Jam Sessions - MTL,Montréal,Canada,US/Canada,779,https://www.meetup.com/Data-Viz-Jam-Sessions-MTL/,02-08-2017,32,0,public,29-02-2020
354,NY Data Wizards,New York,USA,US/Canada,1784,https://www.meetup.com/NYData/,08-04-2013,19,0,public,03-04-2019
358,Data+Visualization Detroit,Detroit,USA,US/Canada,821,https://www.meetup.com/Data-Visualization-Detroit/,28-07-2013,18,0,public,26-01-2017
360,"Future Chief Data Scientists in Orange County, CA",Orange,USA,US/Canada,808,https://www.meetup.com/Future-Chief-Data-Scientists-in-Orange-County-CA/,03-02-2013,32,0,public,21-01-2018
361,The Data Scientist - San Francisco,San Francisco,USA,US/Canada,1011,https://www.meetup.com/The-Data-Scientist_San-Francisco/,22-07-2014,6,1,public,16-11-2018
362,Big Data Visualization Tokyo,Tokyo,Japan,Asia,327,https://www.meetup.com/Big-Data-Visualization-Tokyo/,21-02-2014,1,0,public,20-01-2016
363,Data + AI Online Meetup,San Francisco,USA,US/Canada,6581,https://www.meetup.com/data-ai-online/,07-06-2015,78,1,public,10-06-2021
365,Citizen Data Scientists - Melbourne,Melbourne,Australia,Australia,4665,https://www.meetup.com/Citizen/,29-08-2015,30,0,public,26-11-2020
366,Christchurch Big Data,Christchurch,New Zealand,Australia,377,https://www.meetup.com/Christchurch-Big-Data-Meetup/,28-02-2016,18,0,public,19-02-2018
367,Analytics Vidhya Delhi,Delhi,India,Asia,1916,https://www.meetup.com/Analytics-Vidhya-Delhi/,10-08-2013,89,1,public,08-06-2021
368,South Florida Business Intelligence Meetup Group,Miami,USA,US/Canada,40,https://www.meetup.com/South-Florida-Business-Intelligence-Meetup-Group/,23-07-2019,0,0,public,01-01-1970
369,Cork Big Data & Analytics Group,Cork,Ireland,Europe,1157,https://www.meetup.com/Cork-Big-Data-Analytics-Group/,24-06-2013,26,0,public_limited,27-02-2019
370,HKBI - Hong Kong Business Intelligence Meetup,Hong Kong,Hong Kong,Asia,369,https://www.meetup.com/HKBI-Hong-Kong-Business-Intelligence-Meetup/,18-04-2016,3,0,public,18-07-2019
371,DataBeers Milano,Milano,Italy,Europe,721,https://www.meetup.com/DataBeers-Milano/,20-12-2017,5,0,public,21-02-2019
372,FrenchData,Paris,France,Europe,3841,https://www.meetup.com/FrenchData/,31-01-2016,11,0,public,17-12-2019
374,Life Sciences Data Scientists Meetup,Bangalore,India,Asia,186,https://www.meetup.com/Life-Sciences-Data-Scientists-Meetup/,15-11-2014,1,0,public,28-02-2015
378,Boston Predictive Analytics,Cambridge,USA,US/Canada,3378,https://www.meetup.com/Boston-Predictive-Analytics/,16-07-2010,53,0,public,17-07-2016
384,DataViz Nantes,Nantes,France,Europe,1038,https://www.meetup.com/DataViz-Nantes/,15-09-2016,14,3,public,05-05-2021
387,Mulhouse Machine Learning Meetup,Mulhouse,France,Europe,147,https://www.meetup.com/Mulhouse-Machine-Learning-Meetup/,25-07-2014,4,0,public,26-04-2017
388,"Stuttgart Predictive Analytics, Predictive Maintenance, AI",Stuttgart,Germany,Europe,363,https://www.meetup.com/Stuttgart-Predictive-Analytics-Predictive-Maintenance-AI/,30-01-2016,2,0,public_limited,08-11-2016
392,Idaho Business Analytics,Boise,USA,US/Canada,38,https://www.meetup.com/Idaho-Business-Analytics/,09-01-2018,0,0,public,01-01-1970
398,United Arab Emirates (UAE) Data Scientists Meetup,Abu Dhabi,U.A.E.,Asia,903,https://www.meetup.com/United-Arab-Emirates-UAE-Data-Scientists-Meetup/,13-06-2015,18,1,public_limited,14-07-2020
409,"Statistical Society of Australia, Victorian Branch",Melbourne,Australia,Australia,2770,https://www.meetup.com/Statistical-Society-of-Australia-Victorian-Branch/,29-07-2013,90,1,public,18-05-2021
411,Analytics Para Todos - Mexico Group,México City,Mexico,Latin America,117,https://www.meetup.com/analytics-mexico-group/,02-02-2021,2,0,public,19-02-2021
412,Poznański Horyzont Danych,Poznan,Poland,Europe,190,https://www.meetup.com/Poznański-Horyzont-Danych/,04-03-2019,1,0,public,04-04-2019
413,Analytics Para Todos - Argentina Group,Buenos Aires,Argentina,Latin America,66,https://www.meetup.com/analytics-para-todos-argentina-group/,02-02-2021,2,0,public,18-02-2021
414,AI Guild - Delhi NCR,Delhi,India,Asia,2743,https://www.meetup.com/ai-conclave-delhi-ncr/,12-01-2017,35,0,public,19-12-2020
416,AI & Machine Learning,Brussels,Belgium,Europe,617,https://www.meetup.com/AI-Machine-Learning/,05-01-2018,4,0,public,24-04-2020
423,Predictive Modellers - Workshop,Hyderabad,India,Asia,314,https://www.meetup.com/Predictive-Modellers-Meetup/,21-07-2014,3,0,public,06-09-2014
432,Machine Learning Spain,Madrid,Spain,Europe,5059,https://www.meetup.com/MachineLearningSpain/,20-08-2014,45,0,public,20-02-2020
438,Dr. Stats,Belo Horizonte,Brazil,Latin America,50,https://www.meetup.com/Dr-Stats/,15-10-2016,1,0,public,27-10-2016
446,Statistical Seminars,Washington,USA,US/Canada,1345,https://www.meetup.com/Statistical-seminars/,24-12-2015,63,0,public_limited,02-02-2019
453,México City Business Analytics Users Group,México City,Mexico,Latin America,1518,https://www.meetup.com/Mexico-City-Business-Analytics-Users/,08-12-2014,21,0,public,17-05-2019
454,Querétaro Business Analytics Users Group,Querétaro,Mexico,Latin America,404,https://www.meetup.com/Queretaro-Business-Analytics-Users-Group/,10-11-2015,5,0,public,02-02-2018
457,Machine Learning Milan,Milano,Italy,Europe,3288,https://www.meetup.com/Machine-Learning-Milan/,31-05-2017,38,0,public,10-06-2021
472,Campinas Julia Language Meetup,Campinas,Brazil,Latin America,115,https://www.meetup.com/Campinas-Julia-Language-Meetup/,06-11-2014,0,0,public,01-01-1970
474,NYC Deep Learning Research Meetup,New York,USA,US/Canada,312,https://www.meetup.com/Deep-Learning-Research-NYC/,08-05-2018,2,0,public,24-05-2018
475,NYC Stats Programming Master Classes,New York,USA,US/Canada,709,https://www.meetup.com/datascienceclasses/,25-01-2013,5,0,public,24-02-2014
478,Manassas Machine Learning 101 and Beyond,Manassas,USA,US/Canada,81,https://www.meetup.com/Manassas-Machine-Learning-101-and-Beyond-Meetup-Group/,03-08-2019,1,0,public,05-10-2019
493,Spain Quantum Computing,Madrid,Spain,Europe,226,https://www.meetup.com/Madrid-Quantum-Computing-Meetup/,29-08-2017,2,0,public,19-12-2017
502,American Statistical Association - Philadelphia (ASA-P),Philadelphia,USA,US/Canada,85,https://www.meetup.com/amstatphilly/,11-08-2018,1,0,public,05-12-2019
503,Bay Area entrepreneurs in statistics,Oakland,USA,US/Canada,1274,https://www.meetup.com/Bay-Area-entrepreneur-in-statistics/,21-07-2014,27,0,public,04-04-2020
504,MLGeek Brussels,Brussels,Belgium,Europe,699,https://www.meetup.com/MLGeek-Brussels/,14-03-2013,24,0,public,09-05-2017
505,Chicago Chapter American Statistical Association,Chicago,USA,US/Canada,574,https://www.meetup.com/Chicago-Chapter-American-Statistical-Association/,17-09-2012,47,0,public,20-11-2020
